iter	Passed	Remaining
1272	10304	34215
1273	10310	34199
1274	10314	34180
1275	10323	34174
1276	10331	34167
1277	10340	34160
1278	10348	34153
1279	10354	34137
1280	10363	34133
1281	10369	34117
1282	10377	34108
1283	10385	34101
1284	10394	34095
1285	10403	34088
1286	10410	34080
1287	10419	34073
1288	10426	34063
1289	10435	34055
1290	10443	34047
1291	10452	34042
1292	10457	34025
1293	10465	34018
1294	10474	34011
1295	10480	33997
1296	10487	33983
1297	10495	33977
1298	10504	33972
1299	10514	33969
1300	10524	33967
1301	10532	33961
1302	10538	33944
1303	10548	33941
1304	10555	33929
1305	10563	33921
1306	10571	33915
1307	10579	33907
1308	10588	33900
1309	10596	33893
1310	10606	33889
1311	10615	33884
1312	10624	33878
1313	10634	33878
1314	10643	33871
1315	10651	33865
1316	10660	33858
1317	10669	33853
1318	10679	33853
1319	10688	33846
1320	10697	33841
1321	10707	33839
1322	10715	33832
1323	10724	33825
1324	10733	33819
1325	10741	33811
1326	10749	33803
1327	10758	33797
1328	10766	33790
1329	10774	33783
1330	10782	33774
1331	10791	33768
1332	10797	33754
1333	10806	33747
1334	10811	33730
1335	10820	33725
1336	10829	33718
1337	10837	33710
1338	10846	33704
1339	10854	33697
1340	10863	33691
1341	10871	33683
1342	10878	33671
1343	10886	33664
1344	10894	33656
1345	10902	33645
1346	10910	33640
1347	10919	33632
1348	10927	33624
1349	10935	33616
1350	10944	33610
1351	10949	33594
1352	10958	33587
1353	10966	33579
1354	10972	33566
1355	10981	33560
1356	10990	33553
1357	10998	33545
1358	11007	33539
1359	11015	33531
1360	11023	33523
1361	11031	33514
1362	11039	33505
1363	11044	33488
1364	11051	33479
1365	11060	33472
1366	11068	33465
1367	11077	33459
1368	11085	33450
1369	11091	33436
1370	11099	33428
1371	11105	33413
1372	11113	33405
1373	11122	33398
1374	11130	33390
1375	11138	33383
1376	11146	33375
1377	11155	33368
1378	11163	33361
1379	11171	33353
1380	11180	33346
1381	11188	33338
1382	11195	33328
1383	11204	33323
1384	11213	33316
1385	11221	33308
1386	11229	33301
1387	11237	33292
1388	11246	33285
1389	11254	33278
1390	11263	33272
1391	11271	33264
1392	11277	33248
1393	11285	33242
1394	11293	33231
1395	11301	33223
1396	11309	33215
1397	11317	33208
1398	11326	33201
1399	11330	33183
1400	11339	33177
1401	11348	33169
1402	11356	33162
1403	11361	33144
1404	11366	33127
1405	11374	33120
1406	11382	33112
1407	11390	33104
1408	11396	33090
1409	11404	33082
1410	11413	33074
1411	11420	33065
1412	11429	33058
1413	11437	33049
1414	11442	33034
1415	11450	33025
1416	11458	33017
1417	11466	33009
1418	11474	33001
1419	11483	32993
1420	11491	32987
1421	11500	32979
1422	11508	32972
1423	11516	32964
1424	11525	32958
1425	11533	32949
1426	11541	32941
1427	11549	32932
1428	11555	32918
1429	11563	32910
1430	11571	32903
1431	11576	32886
1432	11584	32878
1433	11590	32863
1434	11598	32855
1435	11606	32846
1436	11610	32828
1437	11619	32821
1438	11627	32814
1439	11635	32806
1440	11643	32798
1441	11649	32783
1442	11654	32767
1443	11661	32755
1444	11669	32746
1445	11677	32738
1446	11683	32725
1447	11690	32714
1448	11698	32706
1449	11707	32699
1450	11715	32692
1451	11724	32686
1452	11732	32678
1453	11741	32671
1454	11749	32664
1455	11755	32649
1456	11760	32633
1457	11765	32617
1458	11774	32610
1459	11779	32595
1460	11785	32580
1461	11793	32572
1462	11801	32565
1463	11809	32557
1464	11818	32550
1465	11826	32541
1466	11834	32534
1467	11842	32527
1468	11847	32511
1469	11855	32502
1470	11864	32495
1471	11873	32490
1472	11881	32482
1473	11889	32475
1474	11898	32469
1475	11906	32460
1476	11914	32452
1477	11923	32445
1478	11932	32441
1479	11941	32435
1480	11949	32427
1481	11957	32420
1482	11965	32410
1483	11973	32403
1484	11979	32388
1485	11987	32381
1486	11995	32373
1487	12002	32360
1488	12010	32353
1489	12018	32346
1490	12027	32338
1491	12035	32331
1492	12041	32316
1493	12049	32309
1494	12057	32301
1495	12065	32294
1496	12070	32277
1497	12079	32271
1498	12088	32265
1499	12095	32253
1500	12103	32245
1501	12109	32233
1502	12118	32225
1503	12127	32221
1504	12135	32213
1505	12141	32198
1506	12149	32191
1507	12158	32186
1508	12168	32183
1509	12178	32178
1510	12187	32175
1511	12196	32169
1512	12201	32153
1513	12210	32146
1514	12218	32139
1515	12226	32131
1516	12234	32123
1517	12240	32108
1518	12248	32102
1519	12257	32096
1520	12265	32088
1521	12274	32082
1522	12283	32077
1523	12292	32069
1524	12300	32062
1525	12307	32051
1526	12315	32042
1527	12320	32026
1528	12328	32018
1529	12337	32012
1530	12345	32004
1531	12350	31987
1532	12356	31975
1533	12361	31959
1534	12369	31951
1535	12377	31942
1536	12385	31935
1537	12393	31927
1538	12401	31918
1539	12409	31909
1540	12415	31895
1541	12423	31887
1542	12431	31880
1543	12439	31871
1544	12447	31864
1545	12456	31857
1546	12462	31844
1547	12470	31836
1548	12477	31826
1549	12485	31817
1550	12493	31810
1551	12502	31802
1552	12510	31795
1553	12518	31788
1554	12527	31781
1555	12535	31772
1556	12543	31765
1557	12551	31757
1558	12559	31749
1559	12564	31733
1560	12572	31725
1561	12580	31716
1562	12588	31709
1563	12596	31700
1564	12601	31685
1565	12610	31678
1566	12618	31671
1567	12626	31662
1568	12633	31651
1569	12641	31643
1570	12649	31635
1571	12654	31619
1572	12663	31614
1573	12671	31606
1574	12680	31600
1575	12686	31587
1576	12691	31572
1577	12699	31564
1578	12707	31556
1579	12715	31547
1580	12724	31540
1581	12732	31532
1582	12737	31517
1583	12745	31509
